child,parent,label
вина (причина неблагоприятного),причина явления,1
тайна (скрытая причина),причина явления,1
"гроза (о том, что внушает  страх, ужас)",причина явления,1
"жупел, пугало",причина явления,1
подоплека событий,причина явления,1
первопричина (основная причина),причина явления,1
действующий агент,причина явления,1
локон,прядь волос,1
челка (прядь),прядь волос,1
январь,зимний месяц,1
февраль,зимний месяц,1
декабрь,зимний месяц,1
"линия, черта",полоса на поверхности,1
кайма (обрамление),полоса на поверхности,1
след на поверхности,полоса на поверхности,1
царапина на поверхности,полоса на поверхности,1
спектр (физическое явление),полоса на поверхности,1
поля страницы,полоса на поверхности,1
пылесос,пылеулавливающее оборудование,1
рингтон,мобильный контент,1
набат колокола,сигнал тревоги,1
воздушная тревога,сигнал тревоги,1
"опасность, угроза",перспектива на будущее,1
плохая перспектива,перспектива на будущее,1
денежно-товарное обращение,циклический процесс,1
ядерно-топливный цикл,циклический процесс,1
производственный цикл,циклический процесс,1
оборот (законченный цикл операций ),циклический процесс,1
курс обучения,циклический процесс,1
циркулирование (циклическое движение),циклический процесс,1
рабочий цикл,циклический процесс,1
наемник,участник вооруженного формирования,1
полевой командир,участник вооруженного формирования,1
надорвать (не до конца разорвать),"рвать, разорвать на части",1
прорвать отверстие,"рвать, разорвать на части",1
"терзать (разрывать, раздирать)","рвать, разорвать на части",1
"распороть, вспороть","рвать, разорвать на части",1
семейственность,"кумовство, протекционизм",1
"отсрочить, отодвинуть срок","задержать, делать не вовремя",1
"проволочка (задержка , промедление при выполнении)","задержать, делать не вовремя",1
отставание в выполнении,"задержать, делать не вовремя",1
сотрясение мозга,черепно-мозговая травма,1
очки,медицинская оптика,1
контактные линзы,медицинская оптика,1
монетарная экономика,макроэкономика,1
памятник архитектуры,памятник искусства и культуры,1
предмет антиквариата,памятник искусства и культуры,1
нервно-паралитические вещества,ядовитый газ,1
боевое отравляющее вещество,ядовитый газ,1
консервирование пищевых продуктов,приготовление пищи,1
жарка пищи,приготовление пищи,1
варка пищи,приготовление пищи,1
копчение продуктов,приготовление пищи,1
маринование продуктов,приготовление пищи,1
выпекание изделия,приготовление пищи,1
запекание блюда,приготовление пищи,1
"настоять, приготовить настойку",приготовление пищи,1
приготовление пищи на пару,приготовление пищи,1
призывник,"мужчина, человек мужского пола",1
сын,"мужчина, человек мужского пола",1
мальчик,"мужчина, человек мужского пола",1
юноша,"мужчина, человек мужского пола",1
слуга (работник),"мужчина, человек мужского пола",1
крестный сын,"мужчина, человек мужского пола",1
родственник-мужчина,"мужчина, человек мужского пола",1
"друг, бойфренд","мужчина, человек мужского пола",1
взрослый мужчина,"мужчина, человек мужского пола",1
обескураженный,растерянный,1
озадаченный,растерянный,1
"смятение, замешательство",растерянный,1
дошкольник,малолетние дети,1
младенец,малолетние дети,1
малыш,малолетние дети,1
расшить узором,вышивание (рукоделие),1
шов (место соединения),место соединения,1
стык (место),место соединения,1
шарнир,место соединения,1
"сочление, место сочленения",место соединения,1
крестец,место соединения,1
узел (место соединения),место соединения,1
"слияние, место слияния",место соединения,1
корешок переплета,место соединения,1
перемычка (часть конструкции),место соединения,1
сварной шов,место соединения,1
электрический контакт,место соединения,1
шнуровка (место соединения),место соединения,1
народный танец,танец,1
канкан,танец,1
бальный танец,танец,1
брейк-данс,танец,1
пухлый (округлый и мягкий),округлая форма,1
шуба (одежда),меховая одежда,1
дубленка,меховая одежда,1
препарат валерианы,фитопрепарат,1
препарат из корней растения,фитопрепарат,1
икра рыб,рыбная продукция,1
рыбий жир,рыбная продукция,1
морепродукты,рыбная продукция,1
продукция рыбопереработки,рыбная продукция,1
мясо рыбы,рыбная продукция,1
"обделить при распределении, раздаче",недодать,1
"зарница, отблеск молнии",вспышка света,1
национальный стандарт,нормативно-техническая документация,1
строительные нормы,нормативно-техническая документация,1
технические условия (норматив),нормативно-техническая документация,1
технический регламент,нормативно-техническая документация,1
координата долготы,географическая координата,1
координата широты,географическая координата,1
южный полюс,географическая координата,1
северный полюс,географическая координата,1
объединить в единое целое,соединить в одно целое,1
сочленить,соединить в одно целое,1
застегнуть,соединить в одно целое,1
смешивать (соединять),соединить в одно целое,1
комбинировать (соединять),соединить в одно целое,1
"связать (завязывая, соединить)",соединить в одно целое,1
"плести из полос, нитей",соединить в одно целое,1
сплавить вместе,соединить в одно целое,1
"спарить, соединить в пару",соединить в одно целое,1
зашить (соединить швом),соединить в одно целое,1
стыковать,соединить в одно целое,1
перемешать,соединить в одно целое,1
сочетать,соединить в одно целое,1
собрать в одном месте,соединить в одно целое,1
сборка изделия,соединить в одно целое,1
сшивать,соединить в одно целое,1
запрячь в упряжку,соединить в одно целое,1
зацепить (соединить),соединить в одно целое,1
замкнуть (соединить концы),соединить в одно целое,1
"сбить, сколотить",соединить в одно целое,1
сомкнуть (соединить вплотную),соединить в одно целое,1
"составить, приставить друг к другу",соединить в одно целое,1
спаять (соединить),соединить в одно целое,1
воссоединить,соединить в одно целое,1
срастить вместе,соединить в одно целое,1
"связать, установить отношение",соединить в одно целое,1
заземление прибора,соединить в одно целое,1
"крутить, скручивать",соединить в одно целое,1
коммутация связи,соединить в одно целое,1
стянуть ближе,соединить в одно целое,1
фюзеляж,корпус изделия,1
кузов автомобиля,корпус изделия,1
ветеран афганской войны,ветеран войны,1
ветеран великой отечественной войны,ветеран войны,1
вулкан,гора,1
"белуха, гора алтайского края",гора,1
гуниб,гора,1
говерла,гора,1
машук,гора,1
эльбрус,гора,1
бештау,гора,1
афон,гора,1
ай-петри,гора,1
аконкагуа,гора,1
кавказские горы,гора,1
"арарат, гора",гора,1
скала,гора,1
сопка,гора,1
фудзияма,гора,1
гора-восьмитысячник,гора,1
монблан,гора,1
карпаты,гора,1
лунный цирк,гора,1
плинтус (планка),планка (предмет),1
багет (планка),планка (предмет),1
дранка (планка),планка (предмет),1
коромысло,планка (предмет),1
невропатология,неврология,1
клинок,острая сторона,1
лезвие (острый край),острая сторона,1
экологическая авария,авария,1
промышленная авария,авария,1
транспортная авария,авария,1
короткое замыкание,авария,1
отказ техники,авария,1
контрафакция,недобросовестная конкуренция,1
антиконкурентная практика,недобросовестная конкуренция,1
психоаналитик,психотерапевт,1
артишок,овощи,1
спаржа,овощи,1
зеленый горошек,овощи,1
баклажан (плод),овощи,1
лук (растение),овощи,1
чеснок,овощи,1
огурец (плод),овощи,1
помидор (плод),овощи,1
тыква (плод),овощи,1
стручковый перец (плод),овощи,1
кабачок (плод),овощи,1
кочан капусты,овощи,1
корнеплодные овощи,овощи,1
зелень (овощи),овощи,1
"бессловесный (молчаливый, безропотный)","молчаливый, неразговорчивый",1
мина-ловушка,противопехотная мина,1
перелом кости,"перелом, место перелома",1
велотрек,спортивный трек,1
покрыть расстояние,преодолеть,1
проехать путь,преодолеть,1
выпутаться из проблем,преодолеть,1
"лавировать, маневрировать",преодолеть,1
пересечь при движении,преодолеть,1
взломать защиту,преодолеть,1
"превозмочь чувство, состояние",преодолеть,1
госавтоинспектор,полицейский,1
участковый инспектор,полицейский,1
оперативный работник,полицейский,1
сыщик,полицейский,1
омоновец,полицейский,1
работник уголовного розыска,полицейский,1
постовой (полицейский),полицейский,1
прятки,детская игра,1
чехарда (игра),детская игра,1
пятнашки,детская игра,1
кошки-мышки,детская игра,1
салки,детская игра,1
контрольный пакет акций,пакет акций,1
государственный пакет акций,пакет акций,1
заря на небе,естественное освещение,1
неугомонный,резвый (подвижный и веселый),1
мак,цветковое растение,1
роза (растение),цветковое растение,1
ландыш,цветковое растение,1
орхидея,цветковое растение,1
астра,цветковое растение,1
лотос,цветковое растение,1
гвоздика (цветок),цветковое растение,1
календула,цветковое растение,1
камелия,цветковое растение,1
ромашка (растение),цветковое растение,1
фуксия,цветковое растение,1
примула,цветковое растение,1
тюльпан,цветковое растение,1
хризантема,цветковое растение,1
эдельвейс,цветковое растение,1
сирень,цветковое растение,1
жасмин,цветковое растение,1
фиалка,цветковое растение,1
герань,цветковое растение,1
гиацинт (цветок),цветковое растение,1
лаванда,цветковое растение,1
нарцисс,цветковое растение,1
ирис (цветок),цветковое растение,1
магнолия,цветковое растение,1
колокольчик (травянистое растение),цветковое растение,1
подснежник,цветковое растение,1
калла,цветковое растение,1
крокус,цветковое растение,1
воинское подразделение,вооруженное формирование,1
незаконное вооруженное формирование,вооруженное формирование,1
военизированная охрана,вооруженное формирование,1
народное ополчение,вооруженное формирование,1
белая гвардия,вооруженное формирование,1
войска (вооруженное формирование),вооруженное формирование,1
спецподразделение,вооруженное формирование,1
легион (вооруженное формирование),вооруженное формирование,1
вооруженный отряд,вооруженное формирование,1
полицейский спецназ,вооруженное формирование,1
римская когорта,вооруженное формирование,1
конференция,совещание,1
пленум,совещание,1
круглый стол,совещание,1
"пятиминутка, летучка",совещание,1
совет (совместное обсуждение),совещание,1
консилиум,совещание,1
планерка,совещание,1
оперативное совещание,совещание,1
консультация (совещание),совещание,1
расстроить строй,"расстроить, внести расстройство",1
"подорвать, расшатать","расстроить, внести расстройство",1
супружество,семейно-брачные отношения,1
усыновление,семейно-брачные отношения,1
заключение брака,семейно-брачные отношения,1
моделирование одежды,"моделирование, изготовление моделей",1
вексель,денежная ценная бумага,1
облигация,денежная ценная бумага,1
фитосанитарный контроль,санитарный надзор,1
